epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9382,0.96296,2.72692,1.36928,0.00367,1,0.55306,0.37461,0.29971,3.05106,1.03222,4e-05,4e-05,4e-05
2,51.7059,0.76667,2.52721,1.18936,0.00367,1,0.91914,0.76295,0.36462,3.01203,1.05161,9.901e-05,9.901e-05,9.901e-05
3,645.472,0.79607,2.17769,1.16901,0.00367,1,0.98115,0.86262,0.41997,2.91569,1.07679,0.000156832,0.000156832,0.000156832
4,664.71,0.82305,1.78123,1.22821,0.901,0.82819,0.98,0.8673,0.45115,2.57071,1.1081,0.000213466,0.000213466,0.000213466
5,684.152,0.62245,1.53248,1.13165,1,0.65901,0.96,0.82899,0.40244,2.48449,1.01934,0.000268912,0.000268912,0.000268912
6,705.675,0.66577,1.19807,1.11758,1,0.46844,0.97571,0.8155,0.46986,2.58308,1.07614,0.00032317,0.00032317,0.00032317
7,725.749,0.74924,1.22338,1.12493,1,0.47359,0.94031,0.74245,0.56414,2.68282,1.14469,0.00037624,0.00037624,0.00037624
8,744.927,0.68412,1.22972,1.0688,1,0.47635,0.995,0.80807,0.54907,2.64668,1.19557,0.000428122,0.000428122,0.000428122
9,763.707,0.61935,1.02261,1.04681,0.82674,0.72727,0.88179,0.73174,0.51269,2.3815,1.23006,0.000478816,0.000478816,0.000478816
10,782.741,0.66117,1.07696,1.08587,0.9891,0.81818,0.947,0.73634,0.56563,2.20853,1.31379,0.000528322,0.000528322,0.000528322
11,801.639,0.6694,1.04842,1.10254,0.89604,0.72727,0.95171,0.63389,0.95796,2.4448,1.96318,0.00057664,0.00057664,0.00057664
12,820.588,0.68834,1.06912,1.09962,1,0.87771,0.995,0.67285,0.99787,2.46534,2.18981,0.00062377,0.00062377,0.00062377
13,839.546,0.62287,1.08062,1.05671,1,0.60111,0.995,0.78189,0.71962,2.56059,1.51915,0.000669712,0.000669712,0.000669712
14,859.14,0.68648,1.14714,1.06225,0.85896,0.54545,0.94299,0.72941,0.72325,2.3888,1.53993,0.000714466,0.000714466,0.000714466
15,879.493,0.67155,1.08281,1.11994,0.82348,0.84997,0.95831,0.61764,0.93875,2.27408,1.80545,0.000758032,0.000758032,0.000758032
16,900.778,0.66184,1.04871,1.09083,0.84316,0.81818,0.95171,0.62486,0.91738,2.34572,1.78309,0.00080041,0.00080041,0.00080041
17,921.8,0.71172,1.08141,1.05333,0.89444,0.77269,0.90836,0.69404,0.72493,2.26076,1.30145,0.0008416,0.0008416,0.0008416
18,941.248,0.69097,1.00017,1.06416,1,0.72145,0.89009,0.68758,0.79297,1.95957,1.44343,0.000881602,0.000881602,0.000881602
19,960.82,0.71035,0.98443,1.10417,1,0.89406,0.9446,0.69047,0.74934,2.00482,1.50101,0.000920416,0.000920416,0.000920416
20,980.491,0.65015,0.92773,1.05099,0.88088,0.81818,0.87702,0.62307,0.74883,2.04217,1.46298,0.000958042,0.000958042,0.000958042
21,999.615,0.61774,0.88402,1.05112,0.89785,0.90909,0.90651,0.68648,0.77361,1.94058,1.52132,0.00099448,0.00099448,0.00099448
22,1018.52,0.66797,0.87613,1.03816,0.82225,0.90909,0.87838,0.66954,0.78809,1.90222,1.58169,0.00102973,0.00102973,0.00102973
23,1037.5,0.65206,0.9069,1.0396,1,0.88098,0.9446,0.60821,0.99577,2.0966,1.8559,0.00106379,0.00106379,0.00106379
24,1056.42,0.59494,0.82823,1.03639,0.87948,0.90909,0.95,0.60996,1.02219,3.24948,1.95785,0.00109667,0.00109667,0.00109667
25,1075.57,0.70426,0.99807,1.08388,0.90234,0.84163,0.93168,0.66986,0.83345,3.02382,1.57322,0.00112835,0.00112835,0.00112835
26,1094.51,0.71952,0.94943,1.10173,0.84023,0.63636,0.77848,0.55968,1.07328,2.29887,1.90251,0.00115885,0.00115885,0.00115885
27,1113.5,0.60169,0.88281,0.99568,0.78843,0.72727,0.81861,0.61347,1.08363,2.32246,1.76958,0.00118816,0.00118816,0.00118816
28,1132.4,0.82345,1.20616,1.24803,0.98085,0.90909,0.94167,0.68277,0.92293,2.02877,1.60277,0.00121628,0.00121628,0.00121628
29,1151.36,0.65448,0.94272,1.01769,0.98085,0.90909,0.94167,0.68277,0.92293,2.02877,1.60277,0.00124322,0.00124322,0.00124322
30,1169.97,0.74198,0.93933,1.11537,0.98958,0.90909,0.96687,0.58719,1.13985,1.91752,1.90143,0.00126896,0.00126896,0.00126896
31,1188.8,0.69961,0.86365,1.09943,0.8963,0.90909,0.94182,0.48903,1.3521,2.0461,2.32845,0.00129352,0.00129352,0.00129352
32,1207.77,0.64592,0.874,1.07177,0.91583,0.99001,0.98,0.5461,1.38528,1.981,2.48073,0.00131689,0.00131689,0.00131689
33,1226.71,0.68633,0.82675,1.02082,0.91583,0.99001,0.98,0.5461,1.38528,1.981,2.48073,0.00133907,0.00133907,0.00133907
34,1246.84,0.59778,0.8353,1.02869,0.90896,0.90909,0.94645,0.62043,1.03554,1.74581,1.87602,0.0013466,0.0013466,0.0013466
35,1271.37,0.71698,0.88469,1.03809,0.80954,0.90909,0.8925,0.61651,0.89717,1.71348,1.55507,0.0013268,0.0013268,0.0013268
36,1290.32,0.65915,0.7961,1.06212,0.63329,0.72727,0.71309,0.49299,1.47453,2.22111,2.40765,0.001307,0.001307,0.001307
