epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.422,0.82489,2.2955,1.25248,0.4488,0.31325,0.35802,0.24482,0.94074,2.7097,1.38708,0.000543038,0.000543038,0.000543038
2,464.634,0.95221,1.96359,1.30998,0.5789,0.50018,0.47303,0.33306,1.05515,2.67016,1.54771,0.00109327,0.00109327,0.00109327
3,690.076,0.99362,1.82503,1.35223,0.55764,0.50906,0.48387,0.2638,1.37116,3.06079,1.97602,0.00163799,0.00163799,0.00163799
4,913.64,1.02612,1.75625,1.3844,0.42848,0.43564,0.34573,0.22038,1.45757,4.61922,1.95097,0.00164225,0.00164225,0.00164225
5,1136.39,1.05137,1.71024,1.40115,0.5882,0.41871,0.44608,0.29052,1.17398,2.24492,1.63715,0.00163399,0.00163399,0.00163399
6,1359.95,0.98452,1.63812,1.35296,0.53131,0.4811,0.45302,0.31614,1.23585,3.65642,1.69941,0.00162574,0.00162574,0.00162574
7,1582.84,0.9703,1.56451,1.35582,0.56727,0.63666,0.62424,0.44121,1.04432,2.17741,1.49313,0.00161749,0.00161749,0.00161749
8,1805.03,0.94117,1.49862,1.33466,0.5812,0.63416,0.59591,0.41681,1.09706,1.76389,1.60007,0.00160924,0.00160924,0.00160924
9,2027.5,0.94266,1.39645,1.33337,0.50813,0.58818,0.57281,0.42518,0.9751,1.9957,1.39828,0.00160099,0.00160099,0.00160099
10,2250.25,0.94674,1.41958,1.33052,0.56494,0.60853,0.59234,0.40477,1.10821,1.85022,1.58413,0.00159274,0.00159274,0.00159274
11,2471.29,0.90938,1.34684,1.30199,0.7216,0.63649,0.66456,0.49808,0.96908,1.53569,1.41409,0.00158448,0.00158448,0.00158448
12,2692.6,0.88,1.27028,1.2748,0.66106,0.67292,0.69642,0.49479,1.02618,1.49962,1.46235,0.00157623,0.00157623,0.00157623
13,2920.99,0.92309,1.28051,1.29506,0.63004,0.69045,0.64238,0.48343,0.96566,1.7763,1.41573,0.00156798,0.00156798,0.00156798
14,3142.06,0.8499,1.22935,1.24977,0.55284,0.53484,0.52137,0.3947,0.98218,1.66806,1.45396,0.00155973,0.00155973,0.00155973
15,3365.47,0.87838,1.2182,1.27903,0.51411,0.60317,0.55778,0.41171,1.02269,1.99762,1.48675,0.00155148,0.00155148,0.00155148
16,3591.01,0.83834,1.20575,1.24227,0.55623,0.63514,0.54449,0.40245,1.01632,2.6999,1.53014,0.00154323,0.00154323,0.00154323
17,3816.04,0.89588,1.21055,1.28205,0.6602,0.70896,0.67791,0.5189,0.87991,1.44388,1.36051,0.00153497,0.00153497,0.00153497
18,4038.47,0.83548,1.12783,1.22563,0.70581,0.70109,0.70843,0.5408,0.89118,1.33137,1.39429,0.00152672,0.00152672,0.00152672
19,4260.23,0.8137,1.13557,1.23161,0.64474,0.5944,0.58616,0.43926,1.04033,1.82609,1.52469,0.00151847,0.00151847,0.00151847
20,4481.22,0.79478,1.0881,1.22947,0.70256,0.66375,0.70903,0.54428,0.91012,1.39125,1.39003,0.00151022,0.00151022,0.00151022
21,4703.39,0.79154,1.08347,1.21692,0.59068,0.69789,0.62978,0.49501,0.82359,1.75882,1.31402,0.00150197,0.00150197,0.00150197
22,4928.59,0.814,1.06786,1.22733,0.71024,0.71994,0.71687,0.55865,0.88737,1.17134,1.36069,0.00149372,0.00149372,0.00149372
23,5158.81,0.77659,1.05036,1.20449,0.74857,0.68458,0.72456,0.56069,0.8463,1.19902,1.28391,0.00148546,0.00148546,0.00148546
24,5384.77,0.77717,1.01595,1.20264,0.72433,0.58462,0.69099,0.5094,1.02763,1.47379,1.4921,0.00147721,0.00147721,0.00147721
