epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.09,0.74707,2.10457,1.17586,0.87777,0.34507,0.58343,0.44324,0.74902,2.66704,1.0106,0.00044,0.00044,0.00044
2,257.127,0.74247,1.40303,1.18709,0.63997,0.42562,0.46661,0.35139,0.89041,2.71826,1.211,0.00089406,0.00089406,0.00089406
3,385.372,0.80157,1.39418,1.20633,0.57927,0.23239,0.23237,0.11491,1.50489,3.28534,2.53573,0.00134205,0.00134205,0.00134205
4,512.381,0.87784,1.43728,1.27957,0.38882,0.34507,0.33836,0.19447,1.25998,2.9868,1.80049,0.00178396,0.00178396,0.00178396
5,634.179,0.88843,1.29639,1.24113,0.62374,0.65493,0.64324,0.41068,1.08232,3.58826,1.5433,0.0019472,0.0019472,0.0019472
6,755.832,0.88515,1.28358,1.27764,0.61339,0.50704,0.59728,0.41516,1.13781,4.70613,1.60635,0.001934,0.001934,0.001934
7,877.33,0.91579,1.2021,1.25108,0.76804,0.62676,0.75188,0.51246,1.13248,2.04707,1.56305,0.0019208,0.0019208,0.0019208
8,998.983,0.8537,1.18345,1.19592,0.72152,0.58451,0.67653,0.43415,1.20981,2.12858,1.74352,0.0019076,0.0019076,0.0019076
9,1119.14,0.90037,1.11973,1.24252,0.84503,0.85211,0.85851,0.62879,0.85506,1.5819,1.18945,0.0018944,0.0018944,0.0018944
10,1245.26,0.86045,1.04164,1.22257,0.70083,0.6929,0.72444,0.48689,1.26495,1.55394,1.46532,0.0018812,0.0018812,0.0018812
11,1364.89,0.82973,0.97378,1.19766,0.8393,0.73944,0.84594,0.59874,0.95438,1.7707,1.19689,0.001868,0.001868,0.001868
12,1484.09,0.75931,0.88788,1.15185,0.88445,0.75468,0.85332,0.62601,0.95977,1.50336,1.26553,0.0018548,0.0018548,0.0018548
13,1604.5,0.82392,0.90828,1.1937,0.42012,0.49296,0.40414,0.25333,1.03217,4.26023,1.31379,0.0018416,0.0018416,0.0018416
14,1724.15,0.73144,0.83201,1.14687,0.73637,0.78873,0.83324,0.61116,0.90565,1.26438,1.25187,0.0018284,0.0018284,0.0018284
